ID,MATCH_ID,EVENT_ID,TYPE_ID,PERIOD_ID,TIME_MIN,TIME_SEC,TEAM_ID,X,Y,PLAYER_ID,PLAYER_NAME,PENALTY,HEAD,RIGHT_FOOTED,OTHER_BODY_PART,REGULAR_PLAY,FAST_BREAK,SET_PIECE,FROM_CORNER,FREE_KICK,OWN_GOAL,ASSISTED,LEFT_FOOTED,TARGETED_LOW_LEFT,TARGETED_HIGH_LEFT,TARGETED_LOW_CENTER,TARGETED_HIGH_CENTER,TARGETED_LOW_RIGHT,TARGETED_HIGH_RIGHT,BLOCKED,TARGETED_CLOSE_LEFT,TARGETED_CLOSE_RIGHT,TARGETED_CLOSE_HIGH,TARGETED_CLOSE_LEFT_AND_HIGH,TARGETED_CLOSE_RIGHT_AND_HIGH,PROJECTED_GOAL_MOUTH_Y,PROJECTED_GOAL_MOUTH_Z,DEFLECTION,HIT_WOODWORK,BIG_CHANCE,INDIVIDUAL_CHANCE,HIT_RIGHT_POST,HIT_LEFT_POST,HIT_BAR,OUT_ON_SIDELINE,KICKOFF,FIRST_TOUCH,NOT_ASSISTED,EVENT_TYPE_NAME,TEAM_NAME,IS_GOAL,GOAL_CNT,RESULT,TEAM_SIDE,X_REL_PC,Y_REL_PC,X_REL_M,Y_REL_M,X_REL_M_TEAM,Y_REL_M_TEAM,DISTANCE,DISTANCE_BUCKET,EVENT_COUNT,FOOTBALL_PITCH_CELL,MATCH_DATE
1664343545,a6yd8yl9r7or9w9isbvq04j8q,29,13,1,2,54,,75.7,54.6,,anonymized,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,36.1,2.8,N,N,N,Y,N,N,N,N,N,N,N,Shot,anonymized,N,0,Miss,away,24.3,4.6,25.272,3.128,78.728,3.128,25.46484572896525,26,1,X24|Y2,31-MAR-18
1670098348,a6yd8yl9r7or9w9isbvq04j8q,84,15,1,6,52,,86.5,25.9,,anonymized,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Shot,anonymized,N,0,Attempt Saved,home,13.5,-24.1,14.04,-16.388,14.04,16.388,21.579808710922343,22,1,X14|Y-18,31-MAR-18
1500540630,a6yd8yl9r7or9w9isbvq04j8q,172,15,1,13,52,,86.9,53.3,,anonymized,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Shot,anonymized,N,0,Attempt Saved,home,13.1,3.3,13.624,2.244,13.624,-2.244,13.807567200633136,14,1,X12|Y2,31-MAR-18
1791856459,a6yd8yl9r7or9w9isbvq04j8q,173,13,1,13,53,,77.8,46.4,,anonymized,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,58.2,5.6,N,N,N,Y,N,N,N,N,N,Y,N,Shot,anonymized,N,0,Miss,home,22.2,-3.6,23.088,-2.448,23.088,2.448,23.21741691058676,24,1,X22|Y-4,31-MAR-18
1642625714,a6yd8yl9r7or9w9isbvq04j8q,178,13,1,13,54,,88.2,49.7,,anonymized,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,60.7,6.9,N,N,N,N,N,N,N,N,N,Y,N,Shot,anonymized,N,0,Miss,home,11.8,-0.3,12.272,-0.204,12.272,0.204,12.27369545002645,13,1,X12|Y-2,31-MAR-18
1879745310,aet3fh3odtz8g6avpmpwquf6y,311,13,2,47,8,,80.3,22.3,,anonymized,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,56.3,79.2,N,N,N,Y,N,N,N,N,N,N,N,Shot,anonymized,N,0,Miss,home,19.7,-27.7,20.488,-18.836,20.488,18.836,27.830793017806727,28,1,X20|Y-20,05-MAY-18
1474337439,aet3fh3odtz8g6avpmpwquf6y,605,15,2,50,9,,80.5,31.2,,anonymized,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Shot,anonymized,N,0,Attempt Saved,away,19.5,-18.8,20.28,-12.784,83.72,-12.784,23.973090247191745,24,1,X20|Y-14,05-MAY-18
1628753135,aet3fh3odtz8g6avpmpwquf6y,378,13,2,57,46,,96.1,61.5,,anonymized,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,58.8,25,N,N,N,N,N,N,N,N,N,Y,N,Shot,anonymized,N,0,Miss,home,3.9,11.5,4.056,7.82,4.056,-7.82,8.809286917793063,9,1,X4|Y6,05-MAY-18
1454806917,9ngzh927mqj3f862puyvek296,218,13,1,23,25,,87.5,50.7,,anonymized,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,61.2,9.7,N,N,N,N,N,N,N,N,N,Y,N,Shot,anonymized,N,0,Miss,home,12.5,0.7,13.0,0.476,13.0,-0.476,13.008711542654792,14,1,X12|Y0,23-DEC-17
1362131934,9ngzh927mqj3f862puyvek296,233,13,1,28,8,,89.5,56.3,,anonymized,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,38.0,5.6,N,N,Y,N,N,N,N,N,N,Y,N,Shot,anonymized,N,0,Miss,away,10.5,6.3,10.92,4.284,93.08,4.284,11.730262401157102,12,1,X10|Y4,23-DEC-17
1176956272,9ngzh927mqj3f862puyvek296,339,15,1,40,1,,69.9,47.8,,anonymized,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,50.5,34.2,N,N,N,Y,N,N,N,N,N,Y,N,Shot,anonymized,N,0,Attempt Saved,home,30.1,-2.2,31.304,-1.496,31.304,1.496,31.339726099632717,32,1,X30|Y-2,23-DEC-17
1231165273,9ngzh927mqj3f862puyvek296,346,15,1,40,44,,73.2,57.9,,anonymized,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,51.7,7.0,N,N,N,Y,N,N,N,N,N,N,N,Shot,anonymized,N,0,Attempt Saved,home,26.8,7.9,27.872,5.372,27.872,-5.372,28.38497433502451,29,1,X26|Y4,23-DEC-17
1820606462,9ngzh927mqj3f862puyvek296,475,13,2,53,50,,71.5,28.5,,anonymized,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,44.0,87.5,N,N,N,N,N,N,N,N,N,N,N,Shot,anonymized,N,0,Miss,away,28.5,-21.5,29.64,-14.62,74.36,-14.62,33.04956883228584,34,1,X28|Y-16,23-DEC-17
1748037161,9ngzh927mqj3f862puyvek296,564,15,2,62,38,,83.9,45.8,,anonymized,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Shot,anonymized,N,0,Attempt Saved,away,16.1,-4.2,16.744,-2.856,87.256,-2.856,16.98582562020463,17,1,X16|Y-4,23-DEC-17
1577372755,9ngzh927mqj3f862puyvek296,578,16,2,63,23,,94.4,51.5,,anonymized,N,Y,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,53.3,7.6,N,N,Y,N,N,N,N,N,N,Y,N,Shot,anonymized,Y,1,Goal,away,5.6,1.5,5.824,1.02,98.176,1.02,5.912645431615192,6,1,X4|Y0,23-DEC-17
