ID,X,Y,ANGLE,HEAD,FAST_BREAK,PREDICTED_GOAL,XG,FOOTBALL_PITCH_CELL
2588,55,29,5.965797772039561,Y,N,N,0.0160053505122751,X54|Y28
2587,55,29,5.965797772039561,N,N,N,0.0320133517232504,X54|Y28
2590,55,29,5.965797772039561,Y,Y,N,0.0522528547929708,X54|Y28
2589,55,29,5.965797772039561,N,Y,N,0.1008005490083725,X54|Y28
2592,55,31,5.786831465388906,Y,N,N,0.0158353323790765,X54|Y30
2591,55,31,5.786831465388906,N,N,N,0.0316787617764387,X54|Y30
2594,55,31,5.786831465388906,Y,Y,N,0.0517180321332902,X54|Y30
2593,55,31,5.786831465388906,N,Y,N,0.0998211628078965,X54|Y30
2596,55,33,5.607365593315759,Y,N,N,0.0156666243659394,X54|Y32
2595,55,33,5.607365593315759,N,N,N,0.0313466357530935,X54|Y32
2598,55,33,5.607365593315759,Y,Y,N,0.0511869166373757,X54|Y32
2597,55,33,5.607365593315759,N,Y,N,0.0988475479120639,X54|Y32
2880,57,-1,7.345651506395261,Y,N,N,0.0173778933945817,X56|Y-2
2879,57,-1,7.345651506395261,N,N,N,0.0347102405687528,X56|Y-2
2882,57,-1,7.345651506395261,Y,Y,N,0.0565551552876777,X56|Y-2
2881,57,-1,7.345651506395261,N,Y,N,0.108641871736722,X56|Y-2
2877,57,-3,7.32773692552245,N,Y,N,0.1085367198958533,X56|Y-4
2876,57,-3,7.32773692552245,Y,N,N,0.0173593534669249,X56|Y-4
2875,57,-3,7.32773692552245,N,N,N,0.0346738618104574,X56|Y-4
2878,57,-3,7.32773692552245,Y,Y,N,0.0564972215478664,X56|Y-4
2872,57,-5,7.292167221798582,Y,N,N,0.0173225996977797,X56|Y-6
2871,57,-5,7.292167221798582,N,N,N,0.0346017400873187,X56|Y-6
2874,57,-5,7.292167221798582,Y,Y,N,0.0563823584537837,X56|Y-6
2873,57,-5,7.292167221798582,N,Y,N,0.1083282040370303,X56|Y-6
2814,57,-7,7.239452034625343,Y,N,N,0.0172682702536926,X56|Y-8
2813,57,-7,7.239452034625343,N,N,N,0.0344951198546087,X56|Y-8
